concurrency,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
191,5000.052356020942,98.99476439790575,682.1686167408377,38.793172,1923.770114,503.6826185,1510.9621100999998,1734.62766575,1919.95490974,515.5703933661499,30.59925544764398,18.307337999999998,52.980897999999996,30.397007,39.1916818,43.69916475,51.84132974,7.449234638716415,3680.7433387146593,2175.976294,5288.048365,3654.337479,5195.779968,5230.814988749999,5286.04861269,865.5675295213806,48.92166475932579,4842.988676802785,34.67214270639395,18.874727264909705,54.62290585337967,32.89797577945159,50.247485809372485,51.143246020779024,51.82488866224226,8.557994368015803,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22274395168777641,100.0,98.0,99.0,99.0,99.0,99.0,0.12521738998011936,382.0,489.05657097643973,1660.3383219999998,17.746866,421.14259799999996,1142.6570239,1192.6259329,1466.03254157,436.05145108581206
201,5000.054726368159,99.0,518.8480501169154,45.805602,1736.060785,363.268055,1231.4176527999998,1436.29032565,1732.49207114,425.143485613679,30.75148683333333,19.64347,46.701659,29.714064999999998,39.1721563,43.322398899999996,45.42680050999999,6.466250666309188,3532.4756815223877,2219.1041569999998,4742.140257,3448.757785,4646.368939399999,4684.2562121,4741.37046222,734.2134089938374,50.53066964216691,5002.536294574525,33.99256023810489,21.412515559672087,50.907502595009944,33.65409664151066,44.84431059885977,49.14948389038608,50.89960136146564,7.2193948404917645,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.227445362202238,100.0,98.0,99.0,99.0,99.0,99.0,0.09975093361076329,402.0,449.2396190820895,1689.9849219999999,6.5297849999999995,194.968616,1244.3196661,1361.01640635,1565.25233166,471.50529826060745
211,5000.054502369669,99.0,703.6409226658767,38.158291999999996,1519.275746,665.4717224999999,1223.4056734000003,1359.2763477499996,1427.6618805399999,396.7188648301033,32.13067592180095,19.753958,45.524719,31.517916,42.7612487,44.1303815,45.174389390000016,7.228719996385715,3852.4395868649285,3067.4756119999997,4630.771328,3783.9732695,4495.2317933,4619.33471545,4623.76199387,546.9874970729212,50.447897467621715,4994.34184929455,32.8343070498131,21.96608835740425,50.62276633371398,31.727986076556164,42.835168201855026,50.3709434369971,50.617408282026354,7.808585599255611,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.22700630248694034,100.0,98.0,99.0,99.0,99.0,99.0,0.13768567816430285,422.0,472.2920905308057,1429.753956,6.667202,352.65934849999996,1139.5473621000006,1168.5411559000001,1345.6862075499998,412.9512641007926
221,5000.052036199095,98.99095022624434,736.2697254072398,51.227669999999996,1987.6962159999998,603.360863,1514.9754606,1793.207031149999,1939.8225405599997,491.13391255247296,35.82447888461538,19.264699999999998,53.833079,34.242602999999995,47.927827000000015,49.986991950000004,52.75685438,8.470703093025952,4246.78245619457,3077.866622,5352.887177,3928.8959075,5287.525642399999,5320.59243505,5351.44088534,767.7601878901596,48.157598735914895,4767.166459482399,29.6244771846017,18.575939154436995,51.908412796461924,29.20338795369849,41.9116087619619,44.09907354099747,50.11809688018954,7.501386505126441,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22210005195579263,100.0,98.0,99.0,99.0,99.0,99.0,0.11615834980084555,442.0,674.4579600135747,1745.942669,10.317556999999999,592.208767,1419.802857,1561.52311095,1741.06859866,523.6133886661826
231,5000.051948051948,99.0,723.7633637186146,33.14794,2445.293969,554.0597905,1378.1644211999999,1827.0267889499999,2306.1246649399977,505.4169583535573,34.419598134199134,12.735923999999999,69.967567,31.0998205,55.2326486,59.32926785,68.89455679000001,13.435499723147595,4096.85988103896,1796.693022,7090.820051,3769.662771,6834.4673385,6867.745403149999,7089.9923618699995,1485.6890860553344,47.85980145675666,4738.120344218909,34.0435046097914,14.29233633349006,78.51805648337726,32.154526466126725,53.10990014905284,65.5406492617946,78.49024258308903,14.347657230417859,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2219221752030527,100.0,98.0,99.0,99.0,99.0,99.0,0.11396057645963795,462.0,519.208776430736,2527.061742,9.267939,331.68740049999997,1277.5985759,1482.9995812999998,2417.0867183899995,549.5274566130926
241,5000.051867219917,98.9045643153527,714.0051991307054,43.436769999999996,2487.24368,561.3837285,1468.9994183,1879.3923322,2484.55280464,550.2927929547163,35.09310630705394,16.635333,62.920140999999994,34.432244499999996,47.509914100000024,54.09849429999999,58.01584235,9.83430301199333,4148.163270224066,2213.280929,6248.384797,3882.6291914999997,6144.0687011,6171.799148,6245.64969202,1116.8573708933077,52.54022674223627,5196.468234970721,31.00236646517277,15.89316209574292,60.11301366795603,29.042544699844267,47.02491071322843,48.60940428042634,55.02856810014949,9.491201595695564,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22175890380116134,100.0,61.0,99.0,99.0,99.0,99.0,1.7377967870983728,482.0,536.0905640020746,2532.9093049999997,10.361911,282.989383,1451.4821785999998,1670.42209695,2048.63741288,566.0737515458579
251,5000.053784860558,98.99402390438247,964.5654406294819,48.152637999999996,2536.1397039999997,822.3817859999999,1968.5922176,2330.7538843999996,2501.5628373,625.1889792200802,39.52969220916334,25.711482999999998,63.302530999999995,38.9533225,51.23577579999999,53.8663744,59.69280843999999,8.135797143836992,4838.148671569721,3213.687402,6278.497699,4901.975929,6184.117070699999,6187.67732035,6276.1209526699995,882.8440159116411,49.378484183836925,4888.174843656924,26.39840241436756,15.797156672929871,38.893128023770544,25.671751108827486,34.160941381690115,36.787174257888836,38.87246160372433,5.5115615385373316,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.22559266240848855,102.0,98.0,99.0,99.0,99.0,99.0,0.2230808891275072,502.0,885.3799239203187,2582.925795,25.867321,665.3251835,1950.356549500001,2227.3671176,2453.91941822,693.8686523722935
261,5000.053639846743,98.99808429118774,921.7380979636016,37.76745,2738.1492709999998,646.207424,2009.6438938,2262.46721235,2671.9232044,665.3777274028139,41.870085984674326,23.160978,72.023271,41.881077499999996,54.918383899999995,63.34325979999997,70.17367616,11.062319629682065,5024.885107279693,2955.900897,7228.208651999999,4741.0617255,7022.701992899999,7026.2408024,7226.1900848,1240.9980725858552,48.665153160949735,4817.7569346712635,25.63250315233584,13.884401334674179,43.17606968064993,23.87738104554427,36.14860934052594,39.140799027992585,41.217097270076735,6.895580014668813,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.2253056004289526,100.0,98.0,99.0,99.0,99.0,99.0,0.13129245739985015,522.0,784.9044424501916,2801.470947,14.232992,545.3701689999999,1923.817304,2166.2706752,2621.12045658,671.5743148915864
271,5000.051660516605,98.99815498154982,1053.7558628782288,50.107153999999994,3049.608576,886.8815864999999,2071.3900006,2184.23935315,2801.7879459099995,725.6484585469289,40.60087521402213,20.628754999999998,64.273028,41.1163005,54.140424499999995,58.53726975,62.41567043999999,9.974277172795222,5032.5000681808115,4068.8054319999997,6477.15234,4678.241062,6251.9343259,6305.7344345,6471.92421562,902.4346733890267,50.11079014934292,4960.875769452569,26.344270702052775,15.558625929371184,48.47602291073795,24.321254404504998,37.117187347026096,41.26305391573463,48.4478966916094,7.350607544200516,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2213407048630085,101.0,98.0,99.0,99.0,99.0,99.0,0.12884782481120505,542.0,957.7307241476014,3126.81112,9.760655999999999,859.7460494999999,2040.5647852,2420.4622481999995,2945.18453146,783.0396664637747
281,5000.051601423487,98.99644128113879,885.8958533594305,28.524821,2376.322413,825.3084064999999,1722.7370475999999,1933.2891873499998,2323.4348463099996,544.2015897720848,40.344176508896794,13.324573,70.416417,40.1099355,57.6809312,62.0593417,66.22797150999999,13.23689151520148,4839.506917151245,1709.8181399999999,7076.751397999999,4343.0226425,6963.1761901,6968.159755899999,7074.68927741,1460.8884111782486,52.818672439637545,5228.860604718282,28.57068958358724,14.201233783309368,75.04930927242472,24.931478635775374,40.322068817210784,67.78590116679788,75.02029439539244,13.166235089776427,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22122096777114864,100.0,98.0,99.0,99.0,99.0,99.0,0.11925691160224941,562.0,728.6589910604982,2464.270833,6.523048999999999,656.5394114999999,1720.7424342,1966.58948275,2286.91764096,617.2702336582091
291,5000.051546391753,98.98625429553265,894.0978173986254,58.796431,2172.579593,798.4703035,1705.0695294,1878.2764183,2102.769781049995,561.3774975519065,40.87697297938144,26.356537,64.11636,41.555701,54.5818572,58.74932985,62.96944352,9.051955075806138,4899.3813971271475,3485.940772,6438.487698,4873.6901895,6238.4606459999995,6244.543802949999,6434.63404809,779.3673536434238,56.70675065051281,5613.188840165022,25.687696512895922,15.596643352804184,37.941251538470325,24.06408689869407,34.18357528279112,36.65572746941013,37.10596727083872,5.692548645725014,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22110938752089915,100.0,98.0,99.0,99.0,99.0,99.0,0.15448636971126475,582.0,825.3039635910652,2288.038271,15.309422,666.7336705,1761.2851057999999,1961.2964513,2175.66804737,625.6791657192292
301,5000.053156146179,98.99667774086379,999.0216529003321,26.045847,2396.229163,941.4990254999999,1899.0711615,2133.4745256499996,2346.02383733,686.6153926453708,44.11629449003322,6.882599,69.718346,43.208023999999995,60.274247499999966,62.2564391,67.36256765,11.083031188263682,5322.218959431893,700.540582,6903.245129,5055.938705,6792.3084635,6797.3126537,6898.2007081,983.8130738044725,48.547006592170284,4805.992366888671,24.392268996975215,14.343426908033647,145.29395072994956,23.14384980685965,34.00835257240044,36.21681577270003,42.37305655598197,8.163482213809564,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.22434475768949014,100.0,97.0,99.0,99.0,99.0,99.0,0.15246237748284075,602.0,850.9231675830564,2459.3829579999997,4.099677,700.4625854999999,1992.1478824,2102.6281858499997,2420.25366366,730.0459366866261
311,5000.0530546623795,98.99839228295819,969.9787473681671,28.985201,3232.21225,853.7083514999999,2183.601801199999,2809.11054285,3055.0661156299984,764.0116336213057,40.06106906591639,6.865645,81.56308,36.002027999999996,64.47791439999995,70.87188915,79.23522251,15.971620034492856,4895.599368625401,701.818421,8092.176748,4518.4930525,7965.3418457,7971.0748502999995,8089.2528426,1800.5005668842628,49.37209647616997,4887.758174779933,29.491614225657937,12.260449213050807,145.6527391089985,27.776213052374644,47.33434819712327,48.703285547680984,63.40291757253623,13.688925536126991,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.224142510870265,101.0,97.0,99.0,99.0,99.0,99.0,0.17476852989061192,622.0,738.6898283279743,3301.0820009999998,5.6440459999999995,453.17053649999997,1851.3045117999998,2254.79622005,3070.2139768899997,775.5972383770653
321,5000.051401869159,98.99532710280374,982.9294231152647,25.756769,2866.7441369999997,914.4590205,2185.7665309999998,2410.5931934,2820.0826757399996,733.5296385772298,44.9592753224299,6.987852999999999,71.913662,44.6069445,63.2749616,66.6525839,71.29836524000004,12.595298166935875,5388.798922222741,710.566394,7188.547439,5384.9682809999995,7009.8522662,7015.19770345,7186.2075184899995,1299.434936916005,48.70488654862843,4821.556175386418,25.48792614290274,13.905563590962728,143.10547173788575,22.418034066665562,32.273212729978404,34.519250765739756,123.76184279562527,15.622640627698217,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22081602524692823,100.0,98.0,99.0,99.0,99.0,99.0,0.11830830748759032,642.0,863.1045995109034,2932.924087,0.437535,584.485715,2169.0833421999996,2453.2435306999982,2869.3051437100034,830.3121156389749
